0023-20E3	HASH
1F1EA-1F1FA	FLAG EU
1F1EB-1F1EE	FLAG FI
1F1EB-1F1EF	FLAG FJ
1F1EB-1F1F0	FLAG FK
1F1EB-1F1F2	FLAG FM
1F1EB-1F1F4	FLAG FO
1F1EB-1F1F7	FR
1F1EC-1F1E6	FLAG GA
1F1EC-1F1E7	GB
1F1EC-1F1E9	FLAG GD
1F1EC-1F1EA	FLAG GE
1F1EC-1F1EB	FLAG GF
1F1EC-1F1EC	FLAG GG
1F1EC-1F1ED	FLAG GH
1F1EC-1F1EE	FLAG GI
1F1EC-1F1F1	FLAG GL
1F1EC-1F1F2	FLAG GM
1F1EC-1F1F3	FLAG GN
1F1EC-1F1F5	FLAG GP
1F1EC-1F1F6	FLAG GQ
1F1EC-1F1F7	FLAG GR
1F1EC-1F1F8	FLAG GS
1F1EC-1F1F9	FLAG GT
1F1EC-1F1FA	FLAG GU
1F1EC-1F1FC	FLAG GW
1F1EC-1F1FE	FLAG GY
1F1ED-1F1F0	FLAG HK
1F1ED-1F1F2	FLAG HM
1F1ED-1F1F3	FLAG HN
1F1ED-1F1F7	FLAG HR
1F1ED-1F1F9	FLAG HT
1F1ED-1F1FA	FLAG HU
1F1EE-1F1E8	FLAG IC
1F1EE-1F1E9	FLAG ID
1F1EE-1F1EA	FLAG IE
1F1EE-1F1F1	FLAG IL
1F1EE-1F1F2	FLAG IM
1F1EE-1F1F3	FLAG IN
1F1EE-1F1F4	FLAG IO
1F1EE-1F1F6	FLAG IQ
1F1EE-1F1F7	FLAG IR
1F1EE-1F1F8	FLAG IS
1F1EE-1F1F9	IT
1F1EF-1F1EA	FLAG JE
1F1EF-1F1F2	FLAG JM
1F1EF-1F1F4	FLAG JO
1F1EF-1F1F5	JP
1F1F0-1F1EA	FLAG KE
1F1F0-1F1EC	FLAG KG
1F1F0-1F1ED	FLAG KH
1F1F0-1F1EE	FLAG KI
1F1F0-1F1F2	FLAG KM
1F1F0-1F1F3	FLAG KN
1F1F0-1F1F5	FLAG KP
1F1F0-1F1F7	KR
1F1F0-1F1FC	FLAG KW
1F1F0-1F1FE	FLAG KY
1F1F0-1F1FF	FLAG KZ
1F1F1-1F1E6	FLAG LA
1F1F1-1F1E7	FLAG LB
1F1F1-1F1E8	FLAG LC
1F1F1-1F1EE	FLAG LI
1F1F1-1F1F0	FLAG LK
1F1F1-1F1F7	FLAG LR
1F1F1-1F1F8	FLAG LS
1F1F1-1F1F9	FLAG LT
1F1F1-1F1FA	FLAG LU
1F1F1-1F1FB	FLAG LV
1F1F1-1F1FE	FLAG LY
1F1F2-1F1E6	FLAG MA
1F1F2-1F1E8	FLAG MC
1F1F2-1F1E9	FLAG MD
1F1F2-1F1EA	FLAG ME
1F1F2-1F1EB	FLAG MF
1F1F2-1F1EC	FLAG MG
1F1F2-1F1ED	FLAG MH
1F1F2-1F1F0	FLAG MK
1F1F2-1F1F1	FLAG ML
1F1F2-1F1F2	FLAG MM
1F1F2-1F1F3	FLAG MN
1F1F2-1F1F4	FLAG MO
1F1F2-1F1F5	FLAG MP
1F1F2-1F1F6	FLAG MQ
1F1F2-1F1F7	FLAG MR
1F1F2-1F1F8	FLAG MS
1F1F2-1F1F9	FLAG MT
1F1F2-1F1FA	FLAG MU
1F1F2-1F1FB	FLAG MV
1F1F2-1F1FC	FLAG MW
1F1F2-1F1FD	FLAG MX
1F1F2-1F1FE	FLAG MY
1F1F2-1F1FF	FLAG MZ
1F1F3-1F1E6	FLAG NA
1F1F3-1F1E8	FLAG NC
1F1F3-1F1EA	FLAG NE
1F1F3-1F1EB	FLAG NF
1F1F3-1F1EC	FLAG NG
1F1F3-1F1EE	FLAG NI
1F1F3-1F1F1	FLAG NL
1F1F3-1F1F4	FLAG NO
1F1F3-1F1F5	FLAG NP
1F1F3-1F1F7	FLAG NR
1F1F3-1F1FA	FLAG NU
1F1F3-1F1FF	FLAG NZ
1F1F4-1F1F2	FLAG OM
1F1F5-1F1E6	FLAG PA
1F1F5-1F1EA	FLAG PE
1F1F5-1F1EB	FLAG PF
1F1F5-1F1EC	FLAG PG
1F1F5-1F1ED	FLAG PH
1F1F5-1F1F0	FLAG PK
1F1F5-1F1F1	FLAG PL
1F1F5-1F1F2	FLAG PM
1F1F5-1F1F3	FLAG PN
1F1F5-1F1F7	FLAG PR
1F1F5-1F1F8	FLAG PS
1F1F5-1F1F9	FLAG PT
1F1F5-1F1FC	FLAG PW
1F1F5-1F1FE	FLAG PY
1F1F6-1F1E6	FLAG QA
1F1F7-1F1EA	FLAG RE
1F1F7-1F1F4	FLAG RO
1F1F7-1F1F8	FLAG RS
1F1F7-1F1FA	RU
1F1F7-1F1FC	FLAG RW
1F1F8-1F1E6	FLAG SA
1F1F8-1F1E7	FLAG SB
1F1F8-1F1E8	FLAG SC
1F1F8-1F1E9	FLAG SD
1F1F8-1F1EA	FLAG SE
1F1F8-1F1EC	FLAG SG
1F1F8-1F1ED	FLAG SH
1F1F8-1F1EE	FLAG SI
1F1F8-1F1EF	FLAG SJ
1F1F8-1F1F0	FLAG SK
1F1F8-1F1F1	FLAG SL
1F1F8-1F1F2	FLAG SM
1F1F8-1F1F3	FLAG SN
1F1F8-1F1F4	FLAG SO
1F1F8-1F1F7	FLAG SR
1F1F8-1F1F8	FLAG SS
1F1F8-1F1F9	FLAG ST
1F1F8-1F1FB	FLAG SV
1F1F8-1F1FD	FLAG SX
1F1F8-1F1FE	FLAG SY
1F1F8-1F1FF	FLAG SZ
1F1F9-1F1E6	FLAG TA
1F1F9-1F1E8	FLAG TC
1F1F9-1F1E9	FLAG TD
1F1F9-1F1EB	FLAG TF
1F1F9-1F1EC	FLAG TG
1F1F9-1F1ED	FLAG TH
1F1F9-1F1EF	FLAG TJ
1F1F9-1F1F0	FLAG TK
1F1F9-1F1F1	FLAG TL
1F1F9-1F1F2	FLAG TM
1F1F9-1F1F3	FLAG TN
1F1F9-1F1F4	FLAG TO
1F1F9-1F1F7	FLAG TR
1F1F9-1F1F9	FLAG TT
1F1F9-1F1FB	FLAG TV
1F1F9-1F1FC	FLAG TW
1F1F9-1F1FF	FLAG TZ
1F1FA-1F1E6	FLAG UA
1F1FA-1F1EC	FLAG UG
1F1FA-1F1F2	FLAG UM
1F1FA-1F1F3	FLAG UN
1F1FA-1F1F8	US
1F1FA-1F1FE	FLAG UY
1F1FA-1F1FF	FLAG UZ
1F1FB-1F1E6	FLAG VA
1F1FB-1F1E8	FLAG VC
1F1FB-1F1EA	FLAG VE
1F1FB-1F1EC	FLAG VG
1F1FB-1F1EE	FLAG VI
1F1FB-1F1F3	FLAG VN
1F1FB-1F1FA	FLAG VU
1F1FC-1F1EB	FLAG WF
1F1FC-1F1F8	FLAG WS
1F1FD-1F1F0	FLAG XK
1F1FE-1F1EA	FLAG YE
1F1FE-1F1F9	FLAG YT
1F1FF-1F1E6	FLAG ZA
1F1FF-1F1F2	FLAG ZM
1F1FF-1F1FC	FLAG ZW
1F201	KOKO
1F202	SA
1F21A	U7121
1F22F	U6307
1F232	U7981
1F233	U7A7A
1F234	U5408
1F235	U6E80
1F236	U6709
1F237	U6708
1F238	U7533
1F239	U5272
1F23A	U55B6
1F250	IDEOGRAPH ADVANTAGE
1F251	ACCEPT
1F300	CYCLONE
1F301	FOGGY
1F302	CLOSED UMBRELLA
1F303	NIGHT WITH STARS
1F304	SUNRISE OVER MOUNTAINS
1F305	SUNRISE
1F306	CITY SUNSET
1F307	CITY SUNRISE
1F308	RAINBOW
1F309	BRIDGE AT NIGHT
1F30A	OCEAN
1F30B	VOLCANO
1F30C	MILKY WAY
1F30D	EARTH AFRICA
1F30E	EARTH AMERICAS
1F30F	EARTH ASIA
1F310	GLOBE WITH MERIDIANS
1F311	NEW MOON
1F312	WAXING CRESCENT MOON
1F313	FIRST QUARTER MOON
1F314	MOON
1F315	FULL MOON
1F316	WANING GIBBOUS MOON
1F317	LAST QUARTER MOON
1F318	WANING CRESCENT MOON
1F319	CRESCENT MOON
1F31A	NEW MOON WITH FACE
1F31B	FIRST QUARTER MOON WITH FACE
1F31C	LAST QUARTER MOON WITH FACE
1F31D	FULL MOON WITH FACE
1F31E	SUN WITH FACE
1F31F	STAR2
1F320	STARS
1F321	THERMOMETER
1F324	MOSTLY SUNNY
1F325	BARELY SUNNY
1F326	PARTLY SUNNY RAIN
1F327	RAIN CLOUD
1F328	SNOW CLOUD
1F329	LIGHTNING
1F32A	TORNADO
1F32B	FOG
1F32C	WIND BLOWING FACE
1F32D	HOTDOG
1F32E	TACO
1F32F	BURRITO
1F330	CHESTNUT
1F331	SEEDLING
1F332	EVERGREEN TREE
1F333	DECIDUOUS TREE
1F334	PALM TREE
1F335	CACTUS
1F336	HOT PEPPER
1F337	TULIP
1F338	CHERRY BLOSSOM
1F339	ROSE
1F33A	HIBISCUS
1F33B	SUNFLOWER
1F33C	BLOSSOM
1F33D	CORN
1F33E	EAR OF RICE
1F33F	HERB
1F340	FOUR LEAF CLOVER
1F341	MAPLE LEAF
1F342	FALLEN LEAF
1F343	LEAVES
1F344	MUSHROOM
1F345	TOMATO
1F346	EGGPLANT
1F347	GRAPES
1F348	MELON
1F349	WATERMELON
1F34A	TANGERINE
1F34B	LEMON
1F34C	BANANA
1F34D	PINEAPPLE
1F34E	APPLE
1F34F	GREEN APPLE
1F350	PEAR
1F351	PEACH
1F352	CHERRIES
1F353	STRAWBERRY
1F354	HAMBURGER
1F355	PIZZA
1F356	MEAT ON BONE
1F357	POULTRY LEG
1F358	RICE CRACKER
1F359	RICE BALL
1F35A	RICE
1F35B	CURRY
1F35C	RAMEN
1F35D	SPAGHETTI
1F35E	BREAD
1F35F	FRIES
1F360	SWEET POTATO
1F361	DANGO
1F362	ODEN
1F363	SUSHI
1F364	FRIED SHRIMP
1F365	FISH CAKE
1F366	ICECREAM
1F367	SHAVED ICE
1F368	ICE CREAM
1F369	DOUGHNUT
1F36A	COOKIE
1F36B	CHOCOLATE BAR
1F36C	CANDY
1F36D	LOLLIPOP
1F36E	CUSTARD
1F36F	HONEY POT
1F370	CAKE
1F371	BENTO
1F372	STEW
1F373	FRIED EGG
1F374	FORK AND KNIFE
1F375	TEA
1F376	SAKE
1F377	WINE GLASS
1F378	COCKTAIL
1F379	TROPICAL DRINK
1F37A	BEER
1F37B	BEERS
1F37C	BABY BOTTLE
1F37D	KNIFE FORK PLATE
1F37E	CHAMPAGNE
1F37F	POPCORN
1F380	RIBBON
1F381	GIFT
1F382	BIRTHDAY
1F383	JACK O LANTERN
1F384	CHRISTMAS TREE
1F385	SANTA
1F386	FIREWORKS
1F387	SPARKLER
1F388	BALLOON
1F389	TADA
1F38A	CONFETTI BALL
1F38B	TANABATA TREE
1F38C	CROSSED FLAGS
1F38D	BAMBOO
1F38E	DOLLS
1F38F	FLAGS
1F390	WIND CHIME
1F391	RICE SCENE
1F392	SCHOOL SATCHEL
1F393	MORTAR BOARD
1F396	MEDAL
1F397	REMINDER RIBBON
1F399	STUDIO MICROPHONE
1F39A	LEVEL SLIDER
1F39B	CONTROL KNOBS
1F39E	FILM FRAMES
1F39F	ADMISSION TICKETS
1F3A0	CAROUSEL HORSE
1F3A1	FERRIS WHEEL
1F3A2	ROLLER COASTER
1F3A3	FISHING POLE AND FISH
1F3A4	MICROPHONE
1F3A5	MOVIE CAMERA
1F3A6	CINEMA
1F3A7	HEADPHONES
1F3A8	ART
1F3A9	TOPHAT
1F3AA	CIRCUS TENT
1F3AB	TICKET
1F3AC	CLAPPER
1F3AD	PERFORMING ARTS
1F3AE	VIDEO GAME
1F3AF	DART
1F3B0	SLOT MACHINE
1F3B1	8BALL
1F3B2	GAME DIE
1F3B3	BOWLING
1F3B4	FLOWER PLAYING CARDS
1F3B5	MUSICAL NOTE
1F3B6	NOTES
1F3B7	SAXOPHONE
1F3B8	GUITAR
1F3B9	MUSICAL KEYBOARD
1F3BA	TRUMPET
1F3BB	VIOLIN
1F3BC	MUSICAL SCORE
1F3BD	RUNNING SHIRT WITH SASH
1F3BE	TENNIS
1F3BF	SKI
1F3C0	BASKETBALL
1F3C1	CHECKERED FLAG
1F3C2	SNOWBOARDER
1F3C3-200D-2640	WOMAN RUNNING
1F3C3-200D-2642	MAN RUNNING
1F3C3	RUNNER
1F3C4-200D-2640	WOMAN SURFING
1F3C4-200D-2642	MAN SURFING
1F3C4	SURFER
1F3C5	SPORTS MEDAL
1F3C6	TROPHY
1F3C7	HORSE RACING
1F3C8	FOOTBALL
1F3C9	RUGBY FOOTBALL
1F3CA-200D-2640	WOMAN SWIMMING
1F3CA-200D-2642	MAN SWIMMING
1F3CA	SWIMMER
1F3CB-200D-2640	WOMAN LIFTING WEIGHTS
1F3CB-200D-2642	MAN LIFTING WEIGHTS
1F3CB	WEIGHT LIFTER
1F3CC-200D-2640	WOMAN GOLFING
1F3CC-200D-2642	MAN GOLFING
1F3CC	GOLFER
1F3CD	RACING MOTORCYCLE
1F3CE	RACING CAR
1F3CF	CRICKET BAT AND BALL
1F3D0	VOLLEYBALL
1F3D1	FIELD HOCKEY STICK AND BALL
1F3D2	ICE HOCKEY STICK AND PUCK
1F3D3	TABLE TENNIS PADDLE AND BALL
1F3D4	SNOW CAPPED MOUNTAIN
1F3D5	CAMPING
1F3D6	BEACH WITH UMBRELLA
1F3D7	BUILDING CONSTRUCTION
1F3D8	HOUSE BUILDINGS
1F3D9	CITYSCAPE
1F3DA	DERELICT HOUSE BUILDING
1F3DB	CLASSICAL BUILDING
1F3DC	DESERT
1F3DD	DESERT ISLAND
1F3DE	NATIONAL PARK
1F3DF	STADIUM
1F3E0	HOUSE
1F3E1	HOUSE WITH GARDEN
1F3E2	OFFICE
1F3E3	POST OFFICE
1F3E4	EUROPEAN POST OFFICE
1F3E5	HOSPITAL
1F3E6	BANK
1F3E7	ATM
1F3E8	HOTEL
1F3E9	LOVE HOTEL
1F3EA	CONVENIENCE STORE
1F3EB	SCHOOL
1F3EC	DEPARTMENT STORE
1F3ED	FACTORY
1F3EE	IZAKAYA LANTERN
1F3EF	JAPANESE CASTLE
1F3F0	EUROPEAN CASTLE
1F3F3-200D-1F308	RAINBOW FLAG
1F3F3	WAVING WHITE FLAG
1F3F4-200D-2620	PIRATE FLAG
1F3F4-E0067-E0062-E0065-E006E-E0067-E007F	FLAG ENGLAND
1F3F4-E0067-E0062-E0073-E0063-E0074-E007F	FLAG SCOTLAND
1F3F4-E0067-E0062-E0077-E006C-E0073-E007F	FLAG WALES
1F3F4	WAVING BLACK FLAG
1F3F5	ROSETTE
1F3F7	LABEL
1F3F8	BADMINTON RACQUET AND SHUTTLECOCK
1F3F9	BOW AND ARROW
1F3FA	AMPHORA
1F3FB	SKIN TONE 2
1F3FC	SKIN TONE 3
1F3FD	SKIN TONE 4
1F3FE	SKIN TONE 5
1F3FF	SKIN TONE 6
1F400	RAT
1F401	MOUSE2
1F402	OX
1F403	WATER BUFFALO
1F404	COW2
1F405	TIGER2
1F406	LEOPARD
1F407	RABBIT2
1F408	CAT2
1F409	DRAGON
1F40A	CROCODILE
1F40B	WHALE2
1F40C	SNAIL
1F40D	SNAKE
1F40E	RACEHORSE
1F40F	RAM
1F410	GOAT
1F411	SHEEP
1F412	MONKEY
1F413	ROOSTER
1F414	CHICKEN
1F415-200D-1F9BA	SERVICE DOG
1F415	DOG2
1F416	PIG2
1F417	BOAR
1F418	ELEPHANT
1F419	OCTOPUS
1F41A	SHELL
1F41B	BUG
1F41C	ANT
1F41D	BEE
1F41E	BEETLE
1F41F	FISH
1F420	TROPICAL FISH
1F421	BLOWFISH
1F422	TURTLE
1F423	HATCHING CHICK
1F424	BABY CHICK
1F425	HATCHED CHICK
1F426	BIRD
1F427	PENGUIN
1F428	KOALA
1F429	POODLE
1F42A	DROMEDARY CAMEL
1F42B	CAMEL
1F42C	DOLPHIN
1F42D	MOUSE
1F42E	COW
1F42F	TIGER
1F430	RABBIT
1F431	CAT
1F432	DRAGON FACE
1F433	WHALE
1F434	HORSE
1F435	MONKEY FACE
1F436	DOG
1F437	PIG
1F438	FROG
1F439	HAMSTER
1F43A	WOLF
1F43B	BEAR
1F43C	PANDA FACE
1F43D	PIG NOSE
1F43E	FEET
1F43F	CHIPMUNK
1F440	EYES
1F441-200D-1F5E8	EYE IN SPEECH BUBBLE
1F441	EYE
1F442	EAR
1F443	NOSE
1F444	LIPS
1F445	TONGUE
1F446	POINT UP 2
1F447	POINT DOWN
1F448	POINT LEFT
1F449	POINT RIGHT
1F44A	FACEPUNCH
1F44B	WAVE
1F44C	OK HAND
1F44D	+1
1F44E	 1
1F44F	CLAP
1F450	OPEN HANDS
1F451	CROWN
1F452	WOMANS HAT
1F453	EYEGLASSES
1F454	NECKTIE
1F455	SHIRT
1F456	JEANS
1F457	DRESS
1F458	KIMONO
1F459	BIKINI
1F45A	WOMANS CLOTHES
1F45B	PURSE
1F45C	HANDBAG
1F45D	POUCH
1F45E	MANS SHOE
1F45F	ATHLETIC SHOE
1F460	HIGH HEEL
1F461	SANDAL
1F462	BOOT
1F463	FOOTPRINTS
1F464	BUST IN SILHOUETTE
1F465	BUSTS IN SILHOUETTE
1F466	BOY
1F467	GIRL
1F468-200D-1F33E	MALE FARMER
1F468-200D-1F373	MALE COOK
1F468-200D-1F393	MALE STUDENT
1F468-200D-1F3A4	MALE SINGER
1F468-200D-1F3A8	MALE ARTIST
1F468-200D-1F3EB	MALE TEACHER
1F468-200D-1F3ED	MALE FACTORY WORKER
1F468-200D-1F466-200D-1F466	MAN BOY BOY
1F468-200D-1F466	MAN BOY
1F468-200D-1F467-200D-1F466	MAN GIRL BOY
1F468-200D-1F467-200D-1F467	MAN GIRL GIRL
1F468-200D-1F467	MAN GIRL
1F468-200D-1F468-200D-1F466	MAN MAN BOY
1F468-200D-1F468-200D-1F466-200D-1F466	MAN MAN BOY BOY
1F468-200D-1F468-200D-1F467	MAN MAN GIRL
1F468-200D-1F468-200D-1F467-200D-1F466	MAN MAN GIRL BOY
1F468-200D-1F468-200D-1F467-200D-1F467	MAN MAN GIRL GIRL
1F468-200D-1F469-200D-1F466	MAN WOMAN BOY
1F468-200D-1F469-200D-1F466-200D-1F466	MAN WOMAN BOY BOY
1F468-200D-1F469-200D-1F467	MAN WOMAN GIRL
1F468-200D-1F469-200D-1F467-200D-1F466	MAN WOMAN GIRL BOY
1F468-200D-1F469-200D-1F467-200D-1F467	MAN WOMAN GIRL GIRL
1F468-200D-1F4BB	MALE TECHNOLOGIST
1F468-200D-1F4BC	MALE OFFICE WORKER
1F468-200D-1F527	MALE MECHANIC
1F468-200D-1F52C	MALE SCIENTIST
1F468-200D-1F680	MALE ASTRONAUT
1F468-200D-1F692	MALE FIREFIGHTER
1F468-200D-1F9AF	MAN WITH PROBING CANE
1F468-200D-1F9B0	RED HAIRED MAN
1F468-200D-1F9B1	CURLY HAIRED MAN
1F468-200D-1F9B2	BALD MAN
1F468-200D-1F9B3	WHITE HAIRED MAN
1F468-200D-1F9BC	MAN IN MOTORIZED WHEELCHAIR
1F468-200D-1F9BD	MAN IN MANUAL WHEELCHAIR
1F468-200D-2695	MALE DOCTOR
1F468-200D-2696	MALE JUDGE
1F468-200D-2708	MALE PILOT
1F468-200D-2764-200D-1F468	MAN HEART MAN
1F468-200D-2764-200D-1F48B-200D-1F468	MAN KISS MAN
1F468	MAN
1F469-200D-1F33E	FEMALE FARMER
1F469-200D-1F373	FEMALE COOK
1F469-200D-1F393	FEMALE STUDENT
1F469-200D-1F3A4	FEMALE SINGER
1F469-200D-1F3A8	FEMALE ARTIST
1F469-200D-1F3EB	FEMALE TEACHER
1F469-200D-1F3ED	FEMALE FACTORY WORKER
1F469-200D-1F466-200D-1F466	WOMAN BOY BOY
1F469-200D-1F466	WOMAN BOY
1F469-200D-1F467-200D-1F466	WOMAN GIRL BOY
1F469-200D-1F467-200D-1F467	WOMAN GIRL GIRL
1F469-200D-1F467	WOMAN GIRL
1F469-200D-1F469-200D-1F466	WOMAN WOMAN BOY
1F469-200D-1F469-200D-1F466-200D-1F466	WOMAN WOMAN BOY BOY
1F469-200D-1F469-200D-1F467	WOMAN WOMAN GIRL
1F469-200D-1F469-200D-1F467-200D-1F466	WOMAN WOMAN GIRL BOY
1F469-200D-1F469-200D-1F467-200D-1F467	WOMAN WOMAN GIRL GIRL
1F469-200D-1F4BB	FEMALE TECHNOLOGIST
1F469-200D-1F4BC	FEMALE OFFICE WORKER
1F469-200D-1F527	FEMALE MECHANIC
1F469-200D-1F52C	FEMALE SCIENTIST
1F469-200D-1F680	FEMALE ASTRONAUT
1F469-200D-1F692	FEMALE FIREFIGHTER
1F469-200D-1F9AF	WOMAN WITH PROBING CANE
1F469-200D-1F9B0	RED HAIRED WOMAN
1F469-200D-1F9B1	CURLY HAIRED WOMAN
1F469-200D-1F9B2	BALD WOMAN
1F469-200D-1F9B3	WHITE HAIRED WOMAN
1F469-200D-1F9BC	WOMAN IN MOTORIZED WHEELCHAIR
1F469-200D-1F9BD	WOMAN IN MANUAL WHEELCHAIR
1F469-200D-2695	FEMALE DOCTOR
1F469-200D-2696	FEMALE JUDGE
1F469-200D-2708	FEMALE PILOT
1F469-200D-2764-200D-1F468	WOMAN HEART MAN
1F469-200D-2764-200D-1F469	WOMAN HEART WOMAN
1F469-200D-2764-200D-1F48B-200D-1F468	WOMAN KISS MAN
1F469-200D-2764-200D-1F48B-200D-1F469	WOMAN KISS WOMAN
1F469	WOMAN
1F46A	FAMILY
1F46B	COUPLE
1F46C	TWO MEN HOLDING HANDS
1F46D	TWO WOMEN HOLDING HANDS
1F46E-200D-2640	FEMALE POLICE OFFICER
1F46E-200D-2642	MALE POLICE OFFICER
1F46E	COP
1F46F-200D-2640	WOMAN WITH BUNNY EARS PARTYING
1F46F-200D-2642	MAN WITH BUNNY EARS PARTYING
1F46F	DANCERS
1F470	BRIDE WITH VEIL
1F471-200D-2640	BLOND HAIRED WOMAN
1F471-200D-2642	BLOND HAIRED MAN
1F471	PERSON WITH BLOND HAIR
1F472	MAN WITH GUA PI MAO
1F473-200D-2640	WOMAN WEARING TURBAN
1F473-200D-2642	MAN WEARING TURBAN
1F473	MAN WITH TURBAN
1F474	OLDER MAN
1F475	OLDER WOMAN
1F476	BABY
1F477-200D-2640	FEMALE CONSTRUCTION WORKER
1F477-200D-2642	MALE CONSTRUCTION WORKER
1F477	CONSTRUCTION WORKER
1F478	PRINCESS
1F479	JAPANESE OGRE
1F47A	JAPANESE GOBLIN
1F47B	GHOST
1F47C	ANGEL
1F47D	ALIEN
1F47E	SPACE INVADER
1F47F	IMP
1F480	SKULL
1F481-200D-2640	WOMAN TIPPING HAND
1F481-200D-2642	MAN TIPPING HAND
1F481	INFORMATION DESK PERSON
1F482-200D-2640	FEMALE GUARD
1F482-200D-2642	MALE GUARD
1F482	GUARDSMAN
1F483	DANCER
1F484	LIPSTICK
1F485	NAIL CARE
1F486-200D-2640	WOMAN GETTING MASSAGE
1F486-200D-2642	MAN GETTING MASSAGE
1F486	MASSAGE
1F487-200D-2640	WOMAN GETTING HAIRCUT
1F487-200D-2642	MAN GETTING HAIRCUT
1F487	HAIRCUT
1F488	BARBER
1F489	SYRINGE
1F48A	PILL
1F48B	KISS
1F48C	LOVE LETTER
1F48D	RING
1F48E	GEM
1F48F	COUPLEKISS
1F490	BOUQUET
1F491	COUPLE WITH HEART
1F492	WEDDING
1F493	HEARTBEAT
1F494	BROKEN HEART
1F495	TWO HEARTS
1F496	SPARKLING HEART
1F497	HEARTPULSE
1F498	CUPID
1F499	BLUE HEART
1F49A	GREEN HEART
1F49B	YELLOW HEART
1F49C	PURPLE HEART
1F49D	GIFT HEART
1F49E	REVOLVING HEARTS
1F49F	HEART DECORATION
1F4A0	DIAMOND SHAPE WITH A DOT INSIDE
1F4A1	BULB
1F4A2	ANGER
1F4A3	BOMB
1F4A4	ZZZ
1F4A5	BOOM
1F4A6	SWEAT DROPS
1F4A7	DROPLET
1F4A8	DASH
1F4A9	HANKEY
1F4AA	MUSCLE
1F4AB	DIZZY
1F4AC	SPEECH BALLOON
1F4AD	THOUGHT BALLOON
1F4AE	WHITE FLOWER
1F4AF	100
1F4B0	MONEYBAG
1F4B1	CURRENCY EXCHANGE
1F4B2	HEAVY DOLLAR SIGN
1F4B3	CREDIT CARD
1F4B4	YEN
1F4B5	DOLLAR
1F4B6	EURO
1F4B7	POUND
1F4B8	MONEY WITH WINGS
